FASLE_pingban_cut,false_39,85.3%
FASLE_pingban_cut,false_23,96.8%
FASLE_pingban_cut,false_51,93.8%
FASLE_pingban_cut,false_13,91.5%
FASLE_pingban_cut,false_43,92.2%
FASLE_pingban_cut,false_25,100.0%
FASLE_pingban_cut,false_18,98.0%
FASLE_pingban_cut,false_10,83.1%
FASLE_pingban_cut,false_8,87.9%
FASLE_pingban_cut,false_11,78.2%
FASLE_pingban_cut,false_1,74.9%
FASLE_pingban_cut,false_52,91.5%
FASLE_pingban_cut,false_27,91.5%
FASLE_pingban_cut,false_16,93.5%
FASLE_pingban_cut,false_12,95.4%
FASLE_pingban_cut,false_19,86.0%
FASLE_pingban_cut,false_35,98.0%
FASLE_pingban_cut,false_24,96.1%
FASLE_pingban_cut,false_20,98.0%
FASLE_pingban_cut,false_21,94.8%
